t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.000,-0.0034,-0.0993,1.0107,-0.85,-0.73,0.61
0.019,-0.0021,-0.1053,1.0111,-0.24,0.0,0.43
0.039,0.0027,-0.0853,1.0126,0.24,1.16,0.67
0.059,-0.0015,-0.0983,1.0066,-0.3,0.91,0.24
0.079,-0.0046,-0.0977,1.006,0.49,1.4,0.37
0.099,-0.0082,-0.0989,1.0111,-0.37,-0.06,0.24
0.119,-0.0095,-0.0987,1.0112,0.24,1.22,-0.43
0.139,-0.0134,-0.0948,1.0061,0.06,0.67,-0.61
0.159,-0.0085,-0.0967,1.0153,-1.04,-1.22,-0.06
0.179,-0.0065,-0.1008,1.0084,-0.43,0.0,-0.55
0.199,-0.0095,-0.0995,1.0115,-0.67,-0.79,0.12
0.219,-0.0025,-0.0994,1.0102,-1.1,-1.16,0.3
0.239,-0.0062,-0.0959,1.0073,-0.67,0.0,0.24
0.259,-0.0066,-0.0965,1.0126,-0.43,-0.3,0.18
0.279,-0.0054,-0.0947,1.0101,-0.73,-0.06,0.12
0.299,-0.0088,-0.0975,1.012,-0.43,-0.18,0.24
0.319,-0.0072,-0.0961,1.0103,-0.85,-0.61,0.3
0.339,-0.0069,-0.0996,1.0068,-0.67,-0.18,0.3
0.359,-0.0099,-0.0951,1.0132,-0.06,0.85,0.12
0.379,-0.0082,-0.0994,1.013,-0.43,0.37,0.18
0.399,-0.0131,-0.1003,1.0103,-0.91,-0.49,0.37
0.419,-0.004,-0.0996,1.0091,-1.46,-1.71,0.61
0.439,-0.0031,-0.0953,1.0055,0.0,0.49,0.37
0.459,-0.0109,-0.0966,1.0093,-1.16,-0.61,0.24
0.479,-0.0025,-0.0959,1.0186,-1.28,-2.44,0.37
0.499,0.0369,-0.0228,1.0106,1.1,2.2,0.55
0.519,-0.0522,-0.1102,1.0109,2.62,2.13,1.89
0.539,-0.0331,-0.1287,1.01,1.59,2.13,9.7
0.559,-0.0242,-0.0297,1.0414,5.37,-0.43,10.37
0.579,0.0117,-0.039,1.0499,17.8,-5.3,1.28
0.599,-0.0293,-0.1064,0.9978,24.63,-4.27,-11.89
0.619,-0.0076,-0.1215,0.9848,13.17,-6.65,-9.45
0.639,-0.029,-0.1503,1.0108,4.51,1.59,3.66
0.659,-0.0307,-0.0248,1.0959,11.4,-0.3,5.18
0.679,-0.0142,0.0037,1.1202,26.59,3.35,-2.62
0.699,-0.0289,-0.0461,1.1858,6.65,3.11,-4.94
0.719,-0.0002,-0.0547,1.1635,-28.41,-16.04,-3.17
0.739,-0.0495,-0.0475,1.1233,-42.2,-16.71,-0.43
0.759,-0.0148,-0.1163,1.1153,-31.77,-18.6,-3.72
0.779,0.0184,-0.1505,1.117,-23.84,-32.32,-6.04
0.799,0.0648,-0.1614,1.121,-29.02,-33.35,-2.2
0.819,0.0943,-0.1234,1.1729,-24.39,-20.0,0.98
0.839,0.1138,-0.1292,1.1161,-21.4,-12.44,7.26
0.859,0.1084,-0.1053,1.1136,-10.24,-7.68,12.26
0.879,0.0486,-0.1145,1.1522,1.77,0.61,15.0
0.899,-0.0518,-0.1116,1.0866,-12.2,20.06,13.05
0.919,-0.0421,-0.1084,1.0768,-14.15,37.44,6.89
0.939,0.0033,-0.1074,1.0381,-10.0,37.87,5.3
0.959,0.011,-0.119,1.0264,-3.29,27.56,4.88
