t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.000,-0.0142,-0.0974,1.001,-1.04,-0.49,0.3
0.019,-0.0171,-0.0988,1.0156,-0.24,-0.43,0.3
0.039,-0.0172,-0.1063,1.0088,-0.73,-0.49,0.43
0.059,-0.0189,-0.1036,1.008,-0.55,-0.3,0.37
0.079,-0.02,-0.0969,1.0107,-0.55,-0.49,0.37
0.099,-0.0153,-0.094,1.0112,-0.61,-0.49,0.37
0.119,-0.014,-0.095,1.0134,-0.55,-0.43,0.24
0.139,-0.0117,-0.1013,1.0074,-0.67,-0.55,0.3
0.159,-0.0147,-0.0999,1.0137,-0.49,-0.43,0.43
0.179,-0.0151,-0.0978,1.0095,-0.67,-0.49,0.24
0.199,-0.0149,-0.102,1.0107,-0.61,-0.43,0.3
0.219,-0.019,-0.1027,1.0118,-0.55,-0.43,0.3
0.239,-0.0184,-0.1013,1.0085,-0.61,-0.43,0.37
0.259,-0.0189,-0.0986,1.007,-0.61,-0.43,0.37
0.279,-0.0152,-0.0953,1.0132,-0.61,-0.49,0.3
0.299,-0.0151,-0.0963,1.011,-0.55,-0.43,0.43
0.319,-0.0161,-0.1027,1.01,-0.61,-0.49,0.37
0.339,-0.0168,-0.1012,1.0101,-0.55,-0.37,0.37
0.359,-0.0153,-0.099,1.0092,-0.61,-0.43,0.43
0.379,-0.0145,-0.0949,1.0123,-0.61,-0.37,0.3
0.399,-0.0145,-0.0988,1.0089,-0.61,-0.43,0.24
0.419,-0.0153,-0.1021,1.0092,-0.61,-0.49,0.37
0.439,-0.0144,-0.0995,1.008,-0.55,-0.37,0.37
0.459,-0.0149,-0.0979,1.0081,-0.55,-0.43,0.3
0.479,-0.0153,-0.095,1.0125,-0.61,-0.43,0.3
0.499,-0.0175,-0.1002,1.0126,-0.55,-0.37,0.24
0.519,-0.0181,-0.1014,1.0079,-0.61,-0.49,0.37
0.539,-0.018,-0.0999,1.0092,-0.55,-0.43,0.37
0.559,-0.017,-0.0997,1.0125,-0.55,-0.49,0.37
0.579,-0.0157,-0.1003,1.0085,-0.61,-0.49,0.37
0.599,-0.0163,-0.1005,1.0159,-0.49,-0.43,0.37
0.619,-0.0145,-0.1002,1.0074,-0.61,-0.43,0.37
0.639,-0.0153,-0.0969,1.0085,-0.55,-0.43,0.37
0.659,-0.0166,-0.0975,1.0082,-0.55,-0.43,0.37
0.679,-0.016,-0.0975,1.013,-0.67,-0.43,0.37
0.699,-0.0175,-0.1014,1.0091,-0.61,-0.43,0.3
0.719,-0.0171,-0.0998,1.0095,-0.49,-0.43,0.43
0.739,-0.0179,-0.1003,1.0097,-0.61,-0.43,0.37
0.759,-0.0149,-0.0981,1.0065,-0.55,-0.37,0.37
0.779,-0.0145,-0.0997,1.0056,-0.61,-0.3,0.37
0.799,-0.0157,-0.103,1.0121,-0.67,-0.43,0.37
0.819,-0.0157,-0.0971,1.0076,-0.73,-0.43,0.37
0.839,-0.0146,-0.0953,1.0074,-0.67,-0.37,0.3
0.859,-0.0147,-0.0987,1.0142,-0.73,-0.3,0.24
0.879,-0.0159,-0.1013,1.0104,-0.73,-0.3,0.3
0.899,-0.0173,-0.1001,1.0084,-0.73,-0.3,0.3
0.919,-0.014,-0.1018,1.0023,-0.85,-0.24,0.37
0.939,-0.0161,-0.0989,1.014,-0.91,-0.12,0.37
0.959,-0.0171,-0.0986,1.0302,-0.67,-0.43,0.3
0.979,-0.0145,-0.101,1.0043,-0.49,-0.61,0.37
0.999,-0.014,-0.0989,0.9995,-0.61,-0.49,0.37
1.019,-0.0155,-0.0992,1.0137,-0.67,-0.49,0.3
1.039,-0.0172,-0.1034,1.0117,-0.73,-0.43,0.3
1.059,-0.0189,-0.1033,1.0134,-0.61,-0.43,0.43
1.079,-0.0174,-0.1,1.0087,-0.61,-0.43,0.3
1.099,-0.0195,-0.1017,1.0117,-0.61,-0.43,0.3
1.119,-0.0155,-0.0986,1.0052,-0.61,-0.37,0.37
1.139,-0.0149,-0.1002,1.0126,-0.67,-0.37,0.43
1.159,-0.0151,-0.098,1.0134,-0.43,-0.43,0.3
1.179,-0.0132,-0.0951,1.0057,-0.61,-0.43,0.3
1.199,-0.0173,-0.0978,1.0068,-0.67,-0.43,0.3
1.219,-0.0161,-0.0997,1.0154,-0.73,-0.43,0.3
1.239,-0.0168,-0.1033,1.0106,-0.61,-0.55,0.37
1.259,-0.0138,-0.1058,1.0087,-0.49,-0.49,0.37
1.279,-0.0148,-0.1025,1.0092,-0.61,-0.43,0.3
1.299,-0.0128,-0.0986,1.0081,-0.55,-0.49,0.3
1.319,-0.0132,-0.0979,1.0086,-0.61,-0.49,0.24
1.339,-0.0164,-0.0967,1.0075,-0.55,-0.37,0.3
1.359,-0.0179,-0.0995,1.01,-0.61,-0.61,0.37
1.379,-0.0186,-0.1006,1.0129,-0.61,-0.49,0.3
1.399,-0.0171,-0.103,1.0109,-0.79,-0.55,0.37
1.419,-0.0178,-0.1005,1.0142,-0.49,-0.43,0.37
1.439,-0.0183,-0.1028,1.0075,-0.73,-0.43,0.37
1.459,-0.0167,-0.098,1.0108,-0.43,-0.43,0.37
1.479,-0.0154,-0.0947,1.009,-0.49,-0.37,0.43
1.499,-0.0129,-0.0994,1.0135,-0.55,-0.37,0.37
1.519,-0.0148,-0.1032,1.0126,-0.49,-0.37,0.37
1.539,-0.0146,-0.0987,1.0098,-0.49,-0.49,0.3
1.559,-0.0165,-0.0992,1.0093,-0.61,-0.37,0.3
1.579,-0.0179,-0.099,1.0117,-0.61,-0.43,0.3
1.599,-0.019,-0.0991,1.0134,-0.61,-0.43,0.3
1.619,-0.0175,-0.0985,1.0135,-0.49,-0.49,0.37
1.639,-0.0166,-0.1035,1.0114,-0.61,-0.37,0.3
1.659,-0.0176,-0.0995,1.0101,-0.43,-0.37,0.43
1.679,-0.0156,-0.0981,1.0097,-0.67,-0.43,0.37
1.699,-0.0142,-0.0986,1.009,-0.43,-0.37,0.37
1.719,-0.0176,-0.0983,1.0127,-0.79,-0.24,0.3
1.739,-0.015,-0.0995,1.0082,-0.49,-0.49,0.43
1.759,-0.016,-0.1006,1.0115,-0.67,-0.37,0.3
1.779,-0.0167,-0.1016,1.0116,-0.61,-0.43,0.3
1.799,-0.0159,-0.1003,1.0139,-0.37,-0.55,0.3
1.819,-0.0165,-0.1016,1.0098,-0.73,-0.24,0.24
1.839,-0.0154,-0.1008,1.0094,-0.55,-0.43,0.3
1.859,-0.0163,-0.0978,1.0099,-0.61,-0.37,0.37
1.879,-0.0156,-0.099,1.0116,-0.61,-0.49,0.3
1.899,-0.0154,-0.0986,1.0104,-0.61,-0.43,0.3
1.919,-0.0177,-0.1001,1.011,-0.61,-0.43,0.3
1.939,-0.0164,-0.0982,1.009,-0.61,-0.49,0.37
1.959,-0.0173,-0.1013,1.0089,-0.55,-0.49,0.37
1.979,-0.0167,-0.0997,1.0147,-0.73,-0.67,0.37
1.999,-0.0158,-0.101,1.0153,-0.55,-0.49,0.3
2.019,-0.018,-0.0995,1.0096,-0.43,-0.37,0.3
2.039,-0.016,-0.1024,1.0071,-0.61,-0.37,0.37
2.059,-0.0145,-0.0982,1.0114,-0.55,-0.49,0.43
2.079,-0.0145,-0.0994,1.0128,-0.55,-0.37,0.3
2.099,-0.0178,-0.097,1.0115,-0.43,-0.3,0.3
2.119,-0.0147,-0.1005,1.0078,-0.73,-0.37,0.3
2.139,-0.0201,-0.0992,1.0093,-0.49,-0.43,0.37
