t_ms,avg_bpm,last_bpm,beats,ir,finger
427568,0,0.0,0,601,0
428572,0,0.0,0,614,0
429575,0,0.0,0,601,0
430579,0,0.0,0,605,0
431583,0,0.0,0,608,0
432586,0,0.0,0,611,0
433589,0,0.0,0,617,0
434593,0,0.0,0,610,0
435597,0,0.0,0,607,0
436600,0,0.0,0,620,0
437604,0,0.0,0,595,0
438608,0,0.0,0,605,0
439611,0,0.0,0,606,0
440616,0,0.0,0,606,0
441618,0,0.0,0,616,0
442623,0,0.0,0,604,0
443625,0,0.0,0,614,0
444629,0,0.0,0,614,0
445633,0,0.0,0,610,0
446636,0,0.0,0,617,0
447641,0,0.0,0,615,0
448644,0,0.0,0,616,0
449647,0,0.0,0,613,0
450651,0,0.0,0,594,0
451655,0,0.0,0,617,0
452659,0,0.0,0,600,0
453661,0,0.0,0,606,0
454666,0,0.0,0,615,0
455669,0,0.0,0,600,0
456673,0,0.0,0,616,0
457677,0,0.0,0,604,0
458680,0,0.0,0,607,0
459683,0,0.0,0,608,0
460688,0,0.0,0,607,0
461691,0,0.0,0,617,0
462695,0,0.0,0,611,0
463698,0,0.0,0,612,0
464702,0,0.0,0,613,0
465706,0,0.0,0,608,0
466710,0,0.0,0,618,0
467713,0,0.0,0,612,0
468717,0,0.0,0,610,0
469721,0,0.0,0,613,0
470723,0,0.0,0,608,0
471727,0,0.0,0,605,0
472731,0,0.0,0,605,0
473734,0,0.0,0,611,0
474739,0,0.0,0,609,0
475742,0,0.0,0,615,0
476746,0,0.0,0,605,0
477750,0,0.0,0,620,0
478753,0,0.0,0,604,0
479756,0,0.0,0,610,0
480759,0,0.0,0,601,0
481764,0,0.0,0,604,0
482767,0,0.0,0,623,0
483771,0,0.0,0,616,0
484774,0,0.0,0,601,0
485779,0,0.0,0,601,0
486782,0,0.0,0,602,0
487786,0,0.0,0,616,0
488788,0,0.0,0,615,0
489792,0,0.0,0,602,0
490797,0,0.0,0,616,0
491799,0,0.0,0,613,0
492803,0,0.0,0,607,0
493807,0,0.0,0,600,0
494811,0,0.0,0,612,0
495814,0,0.0,0,607,0
496818,0,0.0,0,608,0
497822,0,0.0,0,612,0
498826,0,0.0,0,606,0
499828,0,0.0,0,607,0
500833,0,0.0,0,617,0
501836,0,0.0,0,610,0
502840,0,0.0,0,604,0
503844,0,0.0,0,610,0
504847,0,0.0,0,602,0
505852,0,0.0,0,601,0
506854,0,0.0,0,622,0
507859,0,0.0,0,606,0
508862,0,0.0,0,608,0
509865,0,0.0,0,610,0
510870,0,0.0,0,615,0
511872,0,0.0,0,609,0
512877,0,0.0,0,605,0
513881,0,0.0,0,611,0
514883,0,0.0,0,599,0
515887,0,0.0,0,616,0
516891,0,0.0,0,612,0
517895,0,0.0,0,606,0
518898,0,0.0,0,617,0
519901,0,0.0,0,609,0
520906,0,0.0,0,617,0
521908,0,0.0,0,602,0
522913,0,0.0,0,609,0
523917,0,0.0,0,611,0
524920,0,0.0,0,599,0
525924,0,0.0,0,613,0
526928,0,0.0,0,598,0
527930,0,0.0,0,604,0
528934,0,0.0,0,617,0
529937,0,0.0,0,614,0
530941,0,0.0,0,616,0
531945,0,0.0,0,610,0
532948,0,0.0,0,609,0
533953,0,0.0,0,618,0
534955,0,0.0,0,603,0
535959,0,0.0,0,608,0
536963,0,0.0,0,599,0
537966,0,0.0,0,609,0
538971,0,0.0,0,611,0
539974,0,0.0,0,600,0
540977,0,0.0,0,611,0
541981,0,0.0,0,604,0
542985,0,0.0,0,615,0
543989,0,0.0,0,610,0
544992,0,0.0,0,602,0
545995,0,0.0,0,613,0
547000,0,0.0,0,601,0
548003,0,0.0,0,620,0
549006,0,0.0,0,620,0
550010,0,0.0,0,603,0
551013,0,0.0,0,607,0
552017,0,0.0,0,601,0
553020,0,0.0,0,624,0
554024,0,0.0,0,604,0
555027,0,0.0,0,606,0
556031,0,0.0,0,601,0
557036,0,0.0,0,604,0
558038,0,0.0,0,610,0
559042,0,0.0,0,600,0
560047,0,0.0,0,615,0
561049,0,0.0,0,614,0
562053,0,0.0,0,601,0
563057,0,0.0,0,613,0
564060,0,0.0,0,613,0
565064,0,0.0,0,612,0
566069,0,0.0,0,592,0
567072,0,0.0,0,617,0
568076,0,0.0,0,609,0
569078,0,0.0,0,599,0
570082,0,0.0,0,605,0
571087,0,0.0,0,606,0
572090,0,0.0,0,614,0
573093,0,0.0,0,603,0
574097,0,0.0,0,609,0
575100,0,0.0,0,611,0
576104,0,0.0,0,604,0
577107,0,0.0,0,624,0
578111,0,0.0,0,607,0
579115,0,0.0,0,607,0
580119,0,0.0,0,611,0
581121,0,0.0,0,610,0
582125,0,0.0,0,614,0
583130,0,0.0,0,609,0
584133,0,0.0,0,615,0
585136,0,0.0,0,611,0
586139,0,0.0,0,611,0
587144,0,0.0,0,604,0
588147,0,0.0,0,617,0
589150,0,0.0,0,624,0
590155,0,0.0,0,612,0
591158,0,0.0,0,611,0
592162,0,0.0,0,601,0
