t_ms,avg_bpm,last_bpm,beats,ir,finger
42639,0,0.0,0,118514,1
43643,0,0.0,0,119372,1
44647,0,0.0,1,1955,0
45649,0,0.0,0,7222,0
46653,0,0.0,0,111432,1
47657,0,0.0,0,1383,0
48661,0,0.0,0,543,0
49665,0,0.0,0,558,0
50667,0,0.0,0,561,0
51671,0,0.0,0,551,0
52675,0,0.0,0,555,0
53679,0,0.0,0,546,0
54683,0,0.0,0,537,0
55685,0,0.0,0,555,0
56689,0,0.0,0,128359,1
57693,0,0.0,0,127790,1
58697,0,0.0,0,127599,1
59699,0,0.0,0,124910,1
60703,0,0.0,0,114141,1
61707,0,0.0,0,606,0
62711,0,0.0,0,604,0
63715,0,0.0,0,604,0
64719,0,0.0,0,599,0
65721,0,0.0,0,598,0
66725,0,0.0,0,602,0
67729,0,0.0,0,602,0
68733,0,0.0,0,603,0
69737,0,0.0,0,607,0
70739,0,0.0,0,602,0
71743,0,0.0,0,593,0
72747,0,0.0,0,601,0
73751,0,0.0,0,600,0
74755,0,0.0,0,593,0
75757,0,0.0,0,600,0
76761,0,0.0,0,600,0
77765,0,0.0,0,609,0
78769,0,0.0,0,595,0
79773,0,0.0,0,598,0
80777,0,0.0,0,605,0
81779,0,0.0,0,605,0
82783,0,0.0,0,597,0
83787,0,0.0,0,602,0
84791,0,0.0,0,596,0
85795,0,0.0,0,607,0
86797,0,0.0,0,607,0
87801,0,0.0,0,609,0
88805,0,0.0,0,598,0
89809,0,0.0,0,598,0
90811,0,0.0,0,592,0
91815,0,0.0,0,591,0
92819,0,0.0,0,607,0
93823,0,0.0,0,608,0
94827,0,0.0,0,599,0
95829,0,0.0,0,608,0
96833,0,0.0,0,596,0
97837,0,0.0,0,2053,0
98841,0,0.0,0,26328,0
99843,0,0.0,0,77129,1
100847,0,0.0,0,70861,1
101851,0,0.0,0,670,0
102853,0,0.0,0,613,0
103857,0,0.0,0,819,0
104861,0,0.0,0,123949,1
105865,0,0.0,0,10231,0
106869,0,0.0,0,846,0
107871,0,0.0,0,3399,0
108875,0,0.0,0,100790,1
