t_ms,avg_bpm,last_bpm,beats,ir,finger
593165,0,0.0,0,609,0
594168,0,0.0,0,608,0
595172,0,0.0,0,609,0
596175,0,0.0,0,621,0
597179,0,0.0,0,607,0
598182,0,0.0,0,621,0
599186,0,0.0,0,598,0
600190,0,0.0,0,626,0
601192,0,0.0,0,607,0
602196,0,0.0,0,607,0
603200,0,0.0,0,617,0
604204,0,0.0,0,602,0
605207,0,0.0,0,609,0
606210,0,0.0,0,610,0
607213,0,0.0,0,600,0
608217,0,0.0,0,618,0
609222,0,0.0,0,596,0
610224,0,0.0,0,616,0
611228,0,0.0,0,615,0
612231,0,0.0,0,621,0
613235,0,0.0,0,613,0
614239,0,0.0,0,603,0
615243,0,0.0,0,616,0
616245,0,0.0,0,619,0
617250,0,0.0,0,606,0
618253,0,0.0,0,614,0
619257,0,0.0,0,599,0
620260,0,0.0,0,609,0
621263,0,0.0,0,615,0
622268,0,0.0,0,619,0
623271,0,0.0,0,620,0
624275,0,0.0,0,607,0
625277,0,0.0,0,623,0
626282,0,0.0,0,609,0
627285,0,0.0,0,613,0
628289,0,0.0,0,618,0
629293,0,0.0,0,597,0
630295,0,0.0,0,618,0
631299,0,0.0,0,606,0
632303,0,0.0,0,607,0
633306,0,0.0,0,608,0
634311,0,0.0,0,591,0
635313,0,0.0,0,623,0
636318,0,0.0,0,610,0
637321,0,0.0,0,620,0
638325,0,0.0,0,617,0
639328,0,0.0,0,610,0
640331,0,0.0,0,610,0
641335,0,0.0,0,604,0
642338,0,0.0,0,617,0
643343,0,0.0,0,598,0
644345,0,0.0,0,615,0
645349,0,0.0,0,619,0
646353,0,0.0,0,614,0
647357,0,0.0,0,613,0
648359,0,0.0,0,615,0
649363,0,0.0,0,610,0
650367,0,0.0,0,609,0
651371,0,0.0,0,607,0
652374,0,0.0,0,615,0
653377,0,0.0,0,608,0
654381,0,0.0,0,611,0
655384,0,0.0,0,598,0
656389,0,0.0,0,609,0
657391,0,0.0,0,606,0
658396,0,0.0,0,614,0
659398,0,0.0,0,619,0
660403,0,0.0,0,601,0
661406,0,0.0,0,612,0
662409,0,0.0,0,606,0
663414,0,0.0,0,613,0
664417,0,0.0,0,613,0
665421,0,0.0,0,618,0
666423,0,0.0,0,610,0
667427,0,0.0,0,609,0
668430,0,0.0,0,609,0
669435,0,0.0,0,606,0
670438,0,0.0,0,604,0
671441,0,0.0,0,606,0
672446,0,0.0,0,617,0
673449,0,0.0,0,602,0
674453,0,0.0,0,617,0
675456,0,0.0,0,602,0
676460,0,0.0,0,622,0
677463,0,0.0,0,607,0
678467,0,0.0,0,610,0
679471,0,0.0,0,616,0
680473,0,0.0,0,612,0
681478,0,0.0,0,613,0
682480,0,0.0,0,597,0
683484,0,0.0,0,616,0
684488,0,0.0,0,601,0
685492,0,0.0,0,614,0
686496,0,0.0,0,607,0
687498,0,0.0,0,618,0
688503,0,0.0,0,615,0
689505,0,0.0,0,596,0
690510,0,0.0,0,613,0
691514,0,0.0,0,611,0
692516,0,0.0,0,609,0
693521,0,0.0,0,600,0
694524,0,0.0,0,611,0
695527,0,0.0,0,609,0
696530,0,0.0,0,609,0
697534,0,0.0,0,611,0
698538,0,0.0,0,603,0
699541,0,0.0,0,614,0
700544,0,0.0,0,617,0
701549,0,0.0,0,605,0
702552,0,0.0,0,614,0
703556,0,0.0,0,614,0
704560,0,0.0,0,609,0
705562,0,0.0,0,614,0
706567,0,0.0,0,611,0
707570,0,0.0,0,615,0
708573,0,0.0,0,615,0
709577,0,0.0,0,618,0
710581,0,0.0,0,613,0
711583,0,0.0,0,604,0
712588,0,0.0,0,612,0
713592,0,0.0,0,598,0
714594,0,0.0,0,624,0
715598,0,0.0,0,615,0
716602,0,0.0,0,604,0
717606,0,0.0,0,612,0
718609,0,0.0,0,601,0
719613,0,0.0,0,615,0
720616,0,0.0,0,613,0
721620,0,0.0,0,598,0
722623,0,0.0,0,617,0
723628,0,0.0,0,601,0
724630,0,0.0,0,607,0
725634,0,0.0,0,603,0
726637,0,0.0,0,611,0
727641,0,0.0,0,616,0
728644,0,0.0,0,613,0
729649,0,0.0,0,606,0
730651,0,0.0,0,610,0
731656,0,0.0,0,607,0
732660,0,0.0,0,610,0
733663,0,0.0,0,610,0
734666,0,0.0,0,603,0
735670,0,0.0,0,621,0
736674,0,0.0,0,619,0
737676,0,0.0,0,600,0
738681,0,0.0,0,614,0
739685,0,0.0,0,596,0
740688,0,0.0,0,611,0
741691,0,0.0,0,618,0
742694,0,0.0,0,617,0
743699,0,0.0,0,617,0
744701,0,0.0,0,617,0
745705,0,0.0,0,602,0
746708,0,0.0,0,611,0
747713,0,0.0,0,606,0
748716,0,0.0,0,612,0
749719,0,0.0,0,614,0
750724,0,0.0,0,595,0
751727,0,0.0,0,618,0
752731,0,0.0,0,610,0
753734,0,0.0,0,602,0
754737,0,0.0,0,604,0
755740,0,0.0,0,613,0
756744,0,0.0,0,608,0
757748,0,0.0,0,614,0
758752,0,0.0,0,603,0
759754,0,0.0,0,601,0
760759,0,0.0,0,600,0
761763,0,0.0,0,591,0
762766,0,0.0,0,612,0
763770,0,0.0,0,613,0
764773,0,0.0,0,604,0
765776,0,0.0,0,614,0
766779,0,0.0,0,616,0
767783,0,0.0,0,617,0
768788,0,0.0,0,616,0
769791,0,0.0,0,610,0
770795,0,0.0,0,614,0
771798,0,0.0,0,595,0
772802,0,0.0,0,617,0
773805,0,0.0,0,617,0
774809,0,0.0,0,604,0
775812,0,0.0,0,610,0
776816,0,0.0,0,610,0
777820,0,0.0,0,613,0
778824,0,0.0,0,612,0
779826,0,0.0,0,605,0
780830,0,0.0,0,614,0
781834,0,0.0,0,616,0
782837,0,0.0,0,602,0
783840,0,0.0,0,611,0
784844,0,0.0,0,616,0
785848,0,0.0,0,604,0
786851,0,0.0,0,615,0
787855,0,0.0,0,603,0
788858,0,0.0,0,623,0
789863,0,0.0,0,614,0
790866,0,0.0,0,605,0
791870,0,0.0,0,611,0
792874,0,0.0,0,597,0
793877,0,0.0,0,609,0
794880,0,0.0,0,611,0
798893,0,0.0,0,608,0
799896,0,0.0,0,613,0
800900,0,0.0,0,618,0
801904,0,0.0,0,611,0
802908,0,0.0,0,618,0
803910,0,0.0,0,609,0
804915,0,0.0,0,609,0
805917,0,0.0,0,616,0
806921,0,0.0,0,600,0
807925,0,0.0,0,621,0
808928,0,0.0,0,618,0
809931,0,0.0,0,612,0
810934,0,0.0,0,619,0
817960,0,0.0,0,599,0
818962,0,0.0,0,608,0
819965,0,0.0,0,606,0
820970,0,0.0,0,621,0
821972,0,0.0,0,620,0
822976,0,0.0,0,607,0
823979,0,0.0,0,622,0
824983,0,0.0,0,604,0
825987,0,0.0,0,604,0
826990,0,0.0,0,601,0
827993,0,0.0,0,608,0
828996,0,0.0,0,612,0
830000,0,0.0,0,613,0
831004,0,0.0,0,604,0
832008,0,0.0,0,618,0
833011,0,0.0,0,604,0
834014,0,0.0,0,617,0
835018,0,0.0,0,598,0
836020,0,0.0,0,605,0
837023,0,0.0,0,618,0
838027,0,0.0,0,608,0
839030,0,0.0,0,603,0
840033,0,0.0,0,620,0
841036,0,0.0,0,600,0
842040,0,0.0,0,612,0
843044,0,0.0,0,611,0
844047,0,0.0,0,605,0
845051,0,0.0,0,603,0
846053,0,0.0,0,620,0
847057,0,0.0,0,607,0
848061,0,0.0,0,602,0
849064,0,0.0,0,605,0
850066,0,0.0,0,617,0
851071,0,0.0,0,614,0
852073,0,0.0,0,613,0
853076,0,0.0,0,616,0
854081,0,0.0,0,610,0
855083,0,0.0,0,605,0
856087,0,0.0,0,615,0
857090,0,0.0,0,602,0
858094,0,0.0,0,617,0
859097,0,0.0,0,612,0
860101,0,0.0,0,604,0
861104,0,0.0,0,611,0
862107,0,0.0,0,605,0
863111,0,0.0,0,604,0
864115,0,0.0,0,611,0
865117,0,0.0,0,615,0
866120,0,0.0,0,602,0
867124,0,0.0,0,604,0
868127,0,0.0,0,605,0
869131,0,0.0,0,610,0
870135,0,0.0,0,609,0
871139,0,0.0,0,602,0
872141,0,0.0,0,605,0
873144,0,0.0,0,618,0
874149,0,0.0,0,613,0
875152,0,0.0,0,610,0
876156,0,0.0,0,615,0
877159,0,0.0,0,602,0
878162,0,0.0,0,617,0
879166,0,0.0,0,601,0
880169,0,0.0,0,619,0
881173,0,0.0,0,599,0
882175,0,0.0,0,612,0
883179,0,0.0,0,610,0
884182,0,0.0,0,608,0
885185,0,0.0,0,617,0
886188,0,0.0,0,614,0
887193,0,0.0,0,610,0
888196,0,0.0,0,607,0
889198,0,0.0,0,620,0
890203,0,0.0,0,603,0
891205,0,0.0,0,612,0
892209,0,0.0,0,609,0
893212,0,0.0,0,621,0
894215,0,0.0,0,620,0
895219,0,0.0,0,603,0
896223,0,0.0,0,620,0
897226,0,0.0,0,614,0
898229,0,0.0,0,612,0
899233,0,0.0,1,2202,0
900237,0,0.0,0,830,0
901240,0,0.0,0,7622,0
902242,0,0.0,0,540,0
903247,0,0.0,0,107911,1
904250,0,0.0,0,59026,1
905254,0,0.0,0,103623,1
906257,0,0.0,0,2910,0
907260,0,0.0,0,576,0
908263,0,0.0,0,562,0
909266,0,0.0,0,547,0
910270,0,0.0,0,556,0
911273,0,0.0,0,583,0
912277,0,0.0,0,555,0
913280,0,0.0,0,594,0
914285,0,0.0,0,2180,0
915287,0,0.0,0,1646,0
916290,0,0.0,0,714,0
917294,0,0.0,0,824,0
918298,0,0.0,0,774,0
919302,0,0.0,1,4954,0
920305,0,0.0,0,5436,0
921308,0,0.0,0,18352,0
922311,0,0.0,0,5551,0
923315,0,0.0,0,1870,0
924318,0,0.0,0,19810,0
925322,0,0.0,0,18386,0
926326,0,0.0,0,22943,0
2599,0,0.0,0,23345,0
3603,0,0.0,0,49529,0
4608,0,0.0,1,70777,1
5611,0,0.0,0,48169,0
6616,0,0.0,0,24190,0
7619,0,0.0,0,45416,0
8623,0,0.0,0,58589,1
9628,0,0.0,0,57163,1
10632,0,0.0,0,57102,1
11636,0,0.0,0,56956,1
12639,0,7.4,1,65071,1
13644,0,7.4,0,60069,1
14647,0,7.4,0,55609,1
15652,0,7.4,0,101752,1
16656,0,7.4,0,83137,1
17660,0,7.4,0,73192,1
18663,0,0.0,0,51145,1
19668,0,0.0,0,41634,0
20672,0,0.0,0,77787,1
21675,0,0.0,0,40327,0
22679,0,0.0,0,21423,0
23684,0,0.0,0,20384,0
24688,0,0.0,0,27372,0
25692,0,0.0,0,17549,0
26697,0,0.0,0,13760,0
27700,0,0.0,0,12522,0
28705,0,0.0,0,17526,0
29709,0,0.0,0,111822,1
30713,0,0.0,0,14576,0
31716,0,0.0,0,14889,0
32722,0,0.0,0,11767,0
33726,0,0.0,0,48580,0
34729,0,0.0,0,47907,0
35734,0,0.0,0,44931,0
36737,0,0.0,0,48491,0
37742,0,0.0,0,47966,0
38746,0,0.0,0,46486,0
39751,0,0.0,0,56403,1
40754,0,0.0,0,52984,1
41759,0,0.0,0,59960,1
42763,0,0.0,0,43668,0
43767,0,0.0,0,39537,0
44772,0,0.0,0,36485,0
45775,0,0.0,0,66539,1
46779,0,0.0,0,101496,1
47783,0,0.0,0,43171,0
48788,0,0.0,0,86825,1
49792,0,0.0,0,11391,0
50796,0,0.0,0,41607,0
51800,0,0.0,0,20516,0
52804,0,0.0,0,7907,0
53809,0,0.0,0,39356,0
54812,0,0.0,0,12771,0
55818,0,0.0,0,7916,0
56822,0,0.0,0,76372,1
57825,0,0.0,0,47039,0
58830,0,0.0,0,60165,1
59833,0,0.0,0,30565,0
60839,0,0.0,0,48906,0
61843,0,0.0,0,55156,1
62847,0,0.0,0,13136,0
63850,0,0.0,0,11975,0
64855,0,0.0,0,20635,0
65859,0,0.0,0,22391,0
66864,0,0.0,0,15664,0
67869,0,0.0,0,14183,0
68873,0,0.0,0,226848,1
69876,0,0.0,0,222590,1
70881,0,0.0,0,198481,1
71885,0,0.0,0,177308,1
72890,0,0.0,0,228766,1
73895,0,0.0,0,208279,1
74899,0,0.0,0,209485,1
75904,0,0.0,0,209452,1
76907,0,0.9,1,207137,1
77912,0,0.9,0,202261,1
78917,0,0.9,0,161740,1
79922,0,0.9,0,134454,1
80926,0,0.9,0,56845,1
81931,0,0.9,0,56728,1
82935,0,0.9,0,56719,1
83939,0,9.0,1,56722,1
84943,0,9.0,0,56714,1
85947,0,9.0,0,55889,1
86952,0,19.8,1,55893,1
87957,16,66.4,1,56480,1
88960,36,78.4,1,87180,1
89966,36,78.4,0,95194,1
90970,36,78.4,0,56303,1
91974,36,78.4,0,56322,1
92979,36,78.4,0,98162,1
93983,36,78.4,0,66690,1
94987,36,78.4,0,57036,1
95992,36,78.4,0,56808,1
96995,36,78.4,0,117075,1
98000,36,78.4,0,113248,1
99005,36,78.4,0,52811,1
100010,36,78.4,0,58684,1
101013,36,78.4,0,100234,1
102018,36,78.4,0,107499,1
103022,36,78.4,0,50873,1
104026,36,78.4,0,50918,1
105031,36,78.4,0,50864,1
106036,36,78.4,0,50983,1
107040,36,3.3,1,51747,1
108044,36,3.3,0,50888,1
109048,36,3.3,0,53939,1
110053,36,3.3,0,76901,1
111057,36,3.3,0,76904,1
112062,36,3.3,0,76901,1
113066,36,3.3,0,76912,1
114071,36,3.3,0,84791,1
115075,36,3.3,0,51068,1
116080,36,3.3,0,78536,1
117085,36,3.3,0,78547,1
118089,36,3.3,0,78563,1
119094,36,3.3,0,78556,1
120097,36,3.3,0,78569,1
121102,36,3.3,0,78564,1
122106,36,3.3,0,78581,1
123110,36,3.3,0,78588,1
124115,36,3.3,0,78590,1
125120,36,3.3,0,78594,1
126124,36,3.3,0,78592,1
127128,36,3.3,0,78601,1
128132,36,3.3,0,78616,1
129137,36,3.3,0,78612,1
130141,36,3.3,0,78608,1
131146,36,3.3,0,78619,1
132151,36,3.3,0,78612,1
133155,36,3.3,0,78615,1
134158,36,3.3,0,50678,1
135163,36,3.3,0,57430,1
136168,36,3.3,0,60421,1
137173,36,3.3,0,54971,1
138176,36,3.3,0,56332,1
139180,36,3.3,0,58647,1
140186,36,3.3,0,60406,1
141190,36,3.3,0,78961,1
142193,36,3.3,0,84593,1
143199,36,3.3,0,89489,1
144202,36,3.3,0,83217,1
145206,36,3.3,0,56196,1
146211,36,3.3,0,51355,1
147215,36,3.3,0,51131,1
148220,36,3.3,0,51825,1
149225,36,3.3,0,60066,1
150228,36,3.3,0,85258,1
151233,36,3.3,0,62878,1
152238,36,3.3,0,67337,1
153242,36,3.3,0,72830,1
154246,36,3.3,0,80748,1
155250,36,3.3,0,88423,1
156255,36,3.3,0,94064,1
157260,36,3.3,0,93724,1
158263,36,3.3,0,80156,1
159269,36,3.3,0,94703,1
160273,36,3.3,0,96434,1
161276,36,3.3,0,70921,1
162281,36,3.3,0,78060,1
163286,36,3.3,0,68465,1
164290,36,3.3,0,83553,1
165294,36,3.3,0,104229,1
166298,36,3.3,0,97246,1
167303,36,3.3,0,123273,1
168308,36,3.3,0,90808,1
169311,36,3.3,0,99686,1
170316,36,3.3,0,79166,1
171320,36,3.3,0,80156,1
172325,36,3.3,0,85884,1
173329,36,3.3,0,102058,1
174334,36,3.3,0,99135,1
175338,36,3.3,0,129163,1
176342,36,3.3,0,128201,1
177347,36,3.3,0,128548,1
178351,36,3.3,0,114527,1
179356,36,3.3,0,75234,1
180359,36,3.3,0,91101,1
181364,36,3.3,0,93220,1
182369,36,3.3,0,80817,1
