t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.000,-0.0164,-0.1005,1.0088,-1.59,-0.43,0.67
0.019,-0.0146,-0.1093,1.0111,1.16,0.06,0.67
0.039,-0.0179,-0.0944,1.0133,-0.18,-0.55,0.3
0.059,-0.0165,-0.0981,1.0117,-1.65,-0.91,0.37
0.079,-0.0145,-0.0949,1.0097,-1.28,-0.73,0.3
0.099,-0.0148,-0.0923,1.0087,-0.61,-0.49,0.43
0.119,-0.0155,-0.0928,1.0126,-0.91,-0.61,0.37
0.139,-0.0156,-0.1003,1.0052,-1.52,-0.49,0.24
0.159,-0.0142,-0.1011,1.0055,0.18,0.12,0.3
0.179,-0.0168,-0.0969,1.0091,1.77,0.24,0.3
0.199,-0.0191,-0.0922,1.0175,0.24,-0.18,0.3
0.219,-0.0155,-0.0961,1.0117,-1.52,-0.55,0.37
0.239,-0.0162,-0.0977,1.0095,-1.34,-0.79,0.3
0.259,-0.0173,-0.0954,1.0101,-0.06,-0.43,0.37
0.279,-0.0148,-0.0907,1.0104,0.24,-0.24,0.37
0.299,-0.0161,-0.0938,1.0107,-0.55,-0.37,0.24
0.319,-0.0137,-0.0964,1.0106,-1.34,-0.67,0.37
0.339,-0.017,-0.0954,1.0103,-1.1,-0.49,0.3
0.359,-0.0194,-0.0934,1.0089,-2.26,-0.67,0.37
0.379,-0.0159,-0.1,1.0051,-2.07,-0.55,0.37
0.399,-0.0175,-0.0863,1.0126,-0.37,-0.3,0.43
0.419,-0.0148,-0.1116,1.0087,-1.52,-0.61,0.91
0.439,-0.0169,-0.0986,1.0093,-0.73,-0.43,0.55
0.459,-0.0171,-0.0944,1.0109,1.28,0.3,0.43
0.479,-0.017,-0.0911,1.0111,-0.55,-0.55,0.37
0.499,-0.0173,-0.0941,1.012,-0.55,-0.49,0.3
0.519,-0.0186,-0.0952,1.0109,-1.65,-0.73,0.43
0.539,-0.0074,-0.0592,1.0053,0.12,-0.12,0.73
0.559,-0.0121,-0.0919,1.0109,0.49,-0.24,2.5
0.579,-0.0121,-0.1044,1.0114,0.06,-0.3,4.02
0.599,-0.0262,-0.112,1.0131,0.37,-0.49,2.74
0.619,-0.021,-0.1072,1.0085,-0.43,-0.55,0.49
0.639,-0.0118,-0.1,1.0049,0.73,-0.12,0.3
0.659,-0.0176,-0.0895,1.0104,4.02,0.67,0.37
0.679,-0.0151,-0.0908,1.0104,1.89,0.43,0.49
0.699,-0.0167,-0.092,1.0094,1.52,0.24,0.3
0.719,-0.0206,-0.0906,1.0103,1.59,0.18,0.3
0.739,-0.023,-0.0831,1.0101,1.4,0.18,0.43
0.759,-0.0182,-0.0931,1.013,0.49,-0.12,0.98
0.779,-0.0211,-0.0931,1.0098,0.98,0.06,0.37
0.799,-0.0186,-0.0909,1.0118,-0.06,-0.37,0.43
0.819,-0.0189,-0.0895,1.0111,-0.3,-0.49,0.3
0.839,-0.0168,-0.0818,1.0086,2.2,0.61,0.37
0.859,-0.0179,-0.0806,1.0145,-0.73,-0.24,0.3
0.879,-0.0169,-0.0908,1.0117,-1.65,-0.85,0.37
0.899,-0.0181,-0.0906,1.0085,-1.34,-0.98,0.37
0.919,-0.0187,-0.0903,1.0101,0.37,-0.37,0.37
0.939,-0.0208,-0.0882,1.0118,0.85,0.18,0.3
0.959,-0.0187,-0.0883,1.0146,0.24,0.24,0.3
0.979,-0.0202,-0.0851,1.0051,0.73,1.04,0.43
