t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.000,-0.0251,-0.1021,1.0126,-0.55,-0.43,0.24
0.019,-0.0271,-0.1025,1.0125,-0.67,-0.3,0.43
0.039,-0.0261,-0.0997,1.0036,-0.49,-0.49,0.43
0.059,-0.0239,-0.0942,1.0126,-0.61,-0.43,0.37
0.079,-0.0246,-0.0981,1.0128,-0.61,-0.37,0.3
0.099,-0.0227,-0.1015,1.0126,-0.61,-0.43,0.37
0.119,-0.0222,-0.1016,1.0082,-0.61,-0.43,0.43
0.139,-0.0211,-0.0993,1.0094,-0.67,-0.37,0.37
0.159,-0.0211,-0.0958,1.0064,-0.61,-0.49,0.3
0.179,-0.0225,-0.0972,1.0136,-0.55,-0.43,0.3
0.199,-0.0253,-0.1009,1.0142,-0.61,-0.43,0.3
0.219,-0.0247,-0.1027,1.01,-0.61,-0.37,0.37
0.239,-0.0254,-0.0996,1.005,-0.49,-0.43,0.37
0.259,-0.0231,-0.0975,1.0095,-0.55,-0.43,0.37
0.279,-0.025,-0.0942,1.0131,-0.55,-0.43,0.24
0.299,-0.0258,-0.0976,1.01,-0.61,-0.43,0.3
0.319,-0.0272,-0.1013,1.0084,-0.61,-0.43,0.37
0.339,-0.0222,-0.1003,1.0082,-0.61,-0.43,0.43
0.359,-0.0233,-0.0999,1.0093,-0.55,-0.43,0.37
0.379,-0.0203,-0.0934,1.0083,-0.73,-0.37,0.37
0.399,-0.0217,-0.0965,1.0137,-0.61,-0.43,0.3
0.419,-0.0222,-0.1018,1.0091,-0.61,-0.43,0.37
0.439,-0.0246,-0.1034,1.0103,-0.49,-0.43,0.43
0.459,-0.0233,-0.1006,1.0076,-0.55,-0.37,0.37
0.479,-0.0242,-0.0983,1.0139,-0.43,-0.49,0.37
0.499,-0.0258,-0.0991,1.0081,-0.55,-0.37,0.37
0.519,-0.0258,-0.0968,1.0139,-0.55,-0.43,0.37
0.539,-0.0264,-0.0981,1.0098,-0.55,-0.49,0.37
