t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.559,-0.0229,-0.1024,1.009,-0.49,-0.43,0.37
0.579,-0.0222,-0.1008,1.0076,-0.61,-0.49,0.49
0.599,-0.0219,-0.098,1.0155,-0.55,-0.49,0.3
0.619,-0.0246,-0.0996,1.0118,-0.73,-0.37,0.3
0.639,-0.0236,-0.1016,1.006,-0.55,-0.37,0.43
0.659,-0.0245,-0.1005,1.0096,-0.49,-0.49,0.55
0.679,-0.0216,-0.0969,1.0142,-0.3,-0.49,0.3
0.699,-0.022,-0.1017,1.0075,-0.37,-0.49,0.3
0.719,-0.0217,-0.101,1.0112,-0.37,-0.49,0.37
0.739,-0.0223,-0.0969,1.0112,-0.49,-0.49,0.3
0.759,-0.0236,-0.0937,1.0129,-0.18,-0.61,0.3
0.779,-0.024,-0.0966,1.0142,-0.18,-0.55,0.37
0.799,-0.0267,-0.0972,1.0158,0.0,-0.67,0.37
0.819,-0.0278,-0.102,1.0062,-0.06,-0.73,0.37
0.839,-0.0264,-0.1031,1.0063,-0.18,-0.67,0.37
0.859,-0.0292,-0.0981,1.0127,-0.06,-0.67,0.49
0.879,-0.0289,-0.1114,1.0317,0.37,-0.67,0.49
0.899,-0.0216,-0.109,0.9855,-0.06,-0.55,0.73
0.919,-0.0146,-0.0891,1.0051,0.06,-0.49,0.49
0.939,-0.0156,-0.0837,1.0168,-0.43,-0.43,0.3
0.959,-0.0167,-0.0889,0.9975,-0.61,-0.55,0.12
0.979,-0.0201,-0.0937,1.0158,-0.61,-0.37,0.37
0.999,-0.0241,-0.0993,1.0137,-0.67,-0.55,0.43
1.019,-0.0239,-0.1038,1.015,-0.43,-0.49,0.43
1.039,-0.0239,-0.0995,1.0066,-0.55,-0.49,0.24
1.059,-0.0284,-0.0972,1.0107,-0.49,-0.37,0.3
1.079,-0.0258,-0.0953,1.0173,-0.61,-0.43,0.37
1.099,-0.0231,-0.0956,1.001,-0.61,-0.43,0.49
1.119,-0.0208,-0.0929,1.0188,-0.43,-0.37,0.43
1.139,-0.0208,-0.0962,1.0023,-0.79,-0.37,0.3
1.159,-0.0232,-0.1007,1.0139,-0.49,-0.37,0.18
1.179,-0.025,-0.1054,1.0102,-0.67,-0.37,0.37
1.199,-0.0229,-0.0947,0.9966,-0.55,-0.43,0.49
1.219,-0.0248,-0.0936,1.0482,-0.61,-0.43,0.49
1.239,-0.0205,-0.0926,0.9949,-0.85,-0.43,0.37
1.259,-0.0174,-0.1013,1.0081,-0.24,-0.43,0.37
1.279,-0.0217,-0.0989,1.0241,-0.55,-0.43,0.43
1.299,-0.0209,-0.0981,0.9902,-0.67,-0.37,0.37
1.319,-0.0208,-0.0905,1.0201,-0.37,-0.43,0.37
1.339,-0.0231,-0.0907,1.0052,-0.98,-0.43,0.18
1.359,-0.0256,-0.0994,1.0154,-0.61,-0.98,0.24
1.379,-0.0283,-0.1074,1.0077,-0.79,-0.55,0.37
1.399,-0.0287,-0.0992,1.0043,-0.85,-1.46,0.49
1.419,-0.0203,-0.0993,1.0175,-1.46,-2.32,0.43
1.439,-0.02,-0.092,1.0007,-1.22,-1.59,0.12
1.459,-0.0749,-0.0377,0.9699,-1.34,-1.28,-2.5
1.479,-0.0771,-0.0512,1.0228,3.84,3.84,-19.02
1.499,0.074,-0.1246,1.0192,-2.01,0.12,-35.37
1.519,-0.011,-0.1476,0.979,-6.95,-9.33,-26.65
1.539,0.0101,-0.0986,1.0254,0.12,-1.59,-5.0
1.559,-0.0151,-0.1094,1.0175,-0.18,-0.79,0.37
1.579,-0.0167,-0.0977,1.0013,0.61,-0.12,0.37
1.599,-0.0149,-0.1039,1.0128,2.74,0.06,0.61
1.619,-0.0179,-0.0896,1.0184,-0.98,-1.1,0.37
1.639,-0.0164,-0.1008,1.0068,-3.84,-2.13,0.18
1.659,-0.018,-0.1091,1.0048,-1.16,-1.04,0.24
1.679,-0.0225,-0.1035,1.0131,2.62,0.3,0.43
1.699,-0.0187,-0.1019,1.0092,0.61,-0.55,0.55
1.719,-0.0192,-0.0908,1.0207,1.34,-0.18,0.49
1.739,-0.0167,-0.0969,1.0086,-0.61,-0.67,0.3
1.759,-0.0155,-0.1005,1.0115,-0.18,-1.59,-0.18
1.779,-0.0132,-0.0942,1.0137,0.85,-0.37,-0.43
1.799,-0.0247,-0.0778,1.0332,2.56,-0.3,-0.79
1.819,-0.0159,-0.0966,1.0061,-0.91,-0.06,-1.71
1.839,-0.0134,-0.1002,1.0055,0.49,-0.18,-1.16
1.859,-0.0163,-0.0947,1.0164,1.77,0.49,0.24
1.879,-0.0179,-0.0939,1.0146,1.22,0.37,0.43
1.899,-0.022,-0.0892,1.0205,-1.16,-0.24,0.43
1.919,-0.0251,-0.079,1.0082,-4.15,-1.04,1.28
1.939,-0.0099,-0.1117,1.0022,-0.24,0.37,4.27
1.959,-0.0214,-0.0562,1.0163,3.17,1.46,7.93
1.979,-0.0192,-0.0891,1.018,-4.09,-1.46,14.21
1.999,-0.009,-0.1457,1.009,-5.06,-1.46,10.3
2.019,-0.0141,-0.0899,1.007,-2.74,-1.16,7.32
2.039,-0.0195,-0.0908,1.0134,-2.26,-1.16,10.43
2.059,-0.0099,-0.097,1.0013,-2.56,-0.49,10.37
2.079,-0.0143,-0.1017,1.0133,0.0,0.43,11.4
2.099,-0.0168,-0.1004,1.0152,-0.85,0.55,9.51
2.119,-0.022,-0.1054,1.0115,-3.84,-0.49,9.63
2.139,-0.0223,-0.1222,1.0054,-2.62,-0.67,7.07
2.159,-0.021,-0.1076,1.0083,1.28,-0.18,4.63
2.179,-0.0211,-0.0944,1.0179,0.0,-0.91,2.68
2.199,-0.0137,-0.0933,1.0079,-0.3,-0.55,3.11
2.219,-0.0202,-0.0984,1.0153,-1.1,-0.43,3.23
2.239,-0.0207,-0.0999,1.0062,-1.1,0.37,1.95
2.259,-0.0198,-0.1019,1.0118,-2.32,-0.98,2.07
2.279,-0.0268,-0.114,1.0162,-1.22,-0.91,1.22
2.299,-0.0162,-0.1052,0.9993,-0.49,-0.67,0.06
2.319,-0.0159,-0.1028,1.007,-0.18,-1.16,0.43
2.339,-0.0125,-0.0987,1.0119,0.55,-0.06,0.37
2.359,-0.016,-0.0999,1.0128,0.61,0.67,0.43
2.379,-0.0168,-0.0978,1.0115,0.0,0.06,0.55
2.399,-0.0187,-0.1056,1.007,1.04,-0.12,0.49
2.419,-0.02,-0.0988,1.0141,1.1,-0.49,0.37
2.439,-0.0211,-0.0908,1.0145,0.06,-0.43,0.43
2.459,-0.0142,-0.0958,1.0064,-2.2,-0.43,0.73
2.479,-0.0161,-0.1049,1.0106,-0.24,-0.37,1.77
2.499,-0.0231,-0.1024,1.009,-0.06,-0.43,1.59
2.519,-0.0193,-0.1071,1.0071,0.18,-0.43,0.67
2.539,-0.015,-0.0832,1.0129,2.01,0.06,0.98
2.559,-0.0145,-0.0983,1.0061,-0.12,-0.43,3.66
2.579,-0.0192,-0.0993,1.0151,-0.24,-0.37,1.46
2.599,-0.0178,-0.0975,1.0112,-1.1,-0.49,0.73
2.619,-0.0184,-0.0939,1.0179,-2.13,-0.85,0.67
2.639,-0.0162,-0.0961,1.0059,-3.17,-0.85,0.49
2.659,-0.018,-0.0928,1.0061,0.55,-0.12,1.34
2.679,-0.0235,-0.0916,1.0196,0.3,-0.85,1.16
2.699,-0.0165,-0.1141,0.9985,-0.06,-0.18,0.49
2.719,-0.0175,-0.0924,1.0242,-0.73,-0.55,0.43
2.739,-0.0143,-0.095,1.0172,-0.85,-1.16,0.24
2.759,-0.0166,-0.1002,1.0092,-1.4,-0.18,0.3
2.779,-0.0181,-0.0994,1.0107,-0.43,-0.43,0.3
2.799,-0.0152,-0.0999,1.0035,0.3,-0.61,0.3
2.819,-0.0179,-0.0949,1.0089,4.57,0.3,0.37
2.839,-0.0208,-0.0873,1.0242,2.87,0.49,0.3
2.859,-0.0196,-0.097,1.0078,-1.16,-0.43,0.24
2.879,-0.019,-0.0996,1.0107,-0.98,-0.49,0.3
2.899,-0.0162,-0.1015,1.004,0.0,0.0,0.37
2.919,-0.0193,-0.0891,1.0156,1.16,0.18,0.37
2.939,-0.0175,-0.092,1.0095,1.22,0.61,0.37
2.959,-0.0177,-0.097,1.0087,0.91,0.55,0.3
2.979,-0.0185,-0.0929,1.0106,0.37,0.3,0.3
2.999,-0.0187,-0.095,1.0098,0.24,0.3,0.43
3.019,-0.0211,-0.0928,1.0087,0.3,0.18,0.37
3.039,-0.0226,-0.0928,1.0089,0.06,0.0,0.43
3.059,-0.0212,-0.0914,1.0086,1.34,-0.06,0.37
3.079,-0.0223,-0.0933,1.0141,1.04,-0.49,0.37
3.099,-0.0224,-0.0893,1.0067,1.22,-0.61,0.24
3.119,-0.0214,-0.0934,1.0104,0.79,-0.67,0.18
3.139,-0.0191,-0.0917,1.0089,0.0,-0.98,-0.06
3.159,-0.0181,-0.0875,1.0103,-0.06,-0.85,-1.65
3.179,-0.0201,-0.0888,1.0104,0.37,-0.24,-1.71
3.199,-0.0187,-0.0867,1.0107,0.91,0.37,0.0
3.219,-0.0184,-0.0904,1.009,-0.61,0.12,0.37
3.239,-0.0214,-0.0898,1.0079,0.18,0.24,0.37
3.259,-0.0224,-0.087,1.0145,0.24,0.3,0.37
3.279,-0.0244,-0.0911,1.013,-0.37,-0.37,0.3
3.299,-0.0253,-0.0889,1.0063,0.24,-0.24,0.37
3.319,-0.0225,-0.0925,1.0139,-0.43,-0.85,0.37
3.339,-0.023,-0.0861,1.008,0.18,-0.49,0.43
3.359,-0.0192,-0.0825,1.0096,0.12,0.18,0.37
3.379,-0.0217,-0.0854,1.0115,-1.59,-0.43,0.3
3.399,-0.0225,-0.0862,1.0115,-0.85,-0.67,0.3
3.419,-0.0228,-0.0887,1.0128,-2.44,-1.65,0.24
3.439,-0.014,-0.0714,1.0084,-2.87,-1.4,-1.71
3.459,-0.0224,-0.0986,1.0072,-2.26,-0.85,-4.63
3.479,-0.0223,-0.0914,1.0209,-3.23,-0.06,-0.55
3.499,-0.0114,-0.0186,1.0138,-7.68,-2.07,1.52
3.519,-0.0176,-0.1242,1.0079,-5.49,-2.26,6.16
3.539,-0.0221,-0.061,1.0031,-2.8,-1.71,4.02
3.559,-0.0165,-0.1345,1.0184,0.3,-0.06,6.28
3.579,-0.0229,-0.1152,1.0065,-1.16,-0.67,2.26
3.599,-0.0204,-0.0975,1.0151,-2.5,-1.59,0.43
3.619,-0.022,-0.0992,1.0085,-2.93,-1.71,0.3
3.639,-0.0164,-0.101,1.0024,-1.65,-1.22,0.18
3.659,-0.0169,-0.0938,1.0071,1.16,-0.18,0.12
3.679,-0.0203,-0.0913,1.0192,0.79,0.0,0.12
3.699,-0.0196,-0.0964,1.0118,-0.61,-0.43,-0.24
3.719,-0.0199,-0.1086,1.0086,-1.71,-0.79,-1.46
3.739,-0.0197,-0.1138,1.0092,-0.79,-0.67,-4.15
3.759,-0.0156,-0.0928,1.0051,0.3,-0.49,-6.59
3.779,-0.0113,-0.0806,1.0128,1.4,-0.18,-5.43
3.799,-0.0117,-0.0905,1.0115,-0.3,-0.43,-1.65
3.819,-0.0167,-0.0957,1.0096,-1.4,-0.55,0.43
3.839,-0.0176,-0.095,1.0148,-1.59,-0.61,0.43
3.859,-0.0145,-0.1036,1.0033,-2.07,-0.73,0.49
3.879,-0.0172,-0.1005,1.0093,0.91,0.3,0.37
3.899,-0.0183,-0.0875,1.0152,0.67,0.67,0.67
3.919,-0.0164,-0.0906,1.009,-0.43,-0.3,4.51
3.939,-0.0255,-0.105,1.012,-0.3,-0.24,3.66
3.959,-0.0212,-0.0974,1.0148,0.43,-0.18,1.22
3.979,-0.0198,-0.1024,1.0073,-0.98,-0.85,0.91
3.999,-0.0175,-0.0942,1.0096,-0.49,-0.49,0.24
4.019,-0.017,-0.0956,1.0047,0.3,0.06,0.3
4.039,-0.0186,-0.0911,1.0126,0.24,-0.43,0.3
4.059,-0.0172,-0.0648,1.0123,-0.91,-0.3,0.18
4.079,-0.0167,-0.0909,1.0087,-1.22,-0.73,0.3
4.099,-0.0214,-0.1276,1.0126,-0.18,-0.3,1.89
4.119,-0.0201,-0.1021,1.0098,-1.28,-0.67,0.79
4.139,-0.0192,-0.0984,1.0081,-1.16,-0.61,0.55
4.159,-0.0153,-0.092,1.0061,0.18,-0.12,0.37
4.179,-0.0145,-0.0726,1.0092,-0.18,-0.24,0.98
4.199,-0.0153,-0.1157,1.0082,-1.28,-0.55,2.2
4.219,-0.0212,-0.1005,1.011,-0.61,-0.18,0.98
4.239,-0.0159,-0.0978,1.0052,-2.01,-0.67,0.67
4.259,-0.0194,-0.0958,1.0075,1.1,0.43,0.91
4.279,-0.0203,-0.0955,1.0107,1.28,0.55,0.98
4.299,-0.0217,-0.0953,1.0145,0.37,0.12,1.4
4.319,-0.017,-0.0837,1.012,-2.5,-1.28,3.35
4.339,-0.0214,-0.1142,1.0046,-2.26,-0.91,2.8
4.359,-0.0184,-0.0976,1.0068,0.43,0.06,0.67
4.379,-0.0179,-0.0951,1.0096,1.65,0.43,0.37
4.399,-0.0198,-0.0933,1.0125,0.67,0.12,0.3
4.419,-0.0191,-0.0973,1.0095,-0.43,-0.49,0.37
4.439,-0.0197,-0.0992,1.0054,-0.91,-0.79,0.3
4.459,-0.0227,-0.0946,1.0112,1.77,0.0,0.3
4.479,-0.0229,-0.0851,1.0154,0.61,-0.43,-0.12
4.499,-0.0174,-0.1025,1.0093,-0.49,-0.49,-3.54
4.519,-0.0197,-0.095,1.0121,-0.3,-0.12,0.37
4.539,-0.0184,-0.093,1.0118,-2.56,-0.91,0.3
4.559,-0.016,-0.0958,1.0051,-0.91,-0.61,0.37
4.579,-0.0174,-0.0909,1.0114,-0.24,-0.61,0.3
4.599,-0.0223,-0.0901,1.0122,-0.67,-0.37,0.06
4.619,-0.0189,-0.0967,1.0079,-1.71,-0.98,-0.06
4.639,-0.0186,-0.0987,1.0068,-2.44,-1.22,0.3
4.659,-0.0207,-0.0931,1.0158,-0.12,-0.3,0.24
4.679,-0.0191,-0.0923,1.0134,-0.18,-0.43,0.37
4.699,-0.0192,-0.0968,1.0054,-1.28,-0.55,0.3
4.719,-0.0162,-0.0981,1.0075,-2.01,-1.16,0.37
4.739,-0.0114,-0.099,1.0099,-4.94,-2.26,0.3
4.759,-0.0198,-0.0999,1.0096,-3.6,-0.98,0.37
4.779,-0.019,-0.1015,1.0072,-0.24,-0.3,0.37
4.799,-0.0182,-0.0978,1.0096,1.4,-0.3,0.37
4.819,-0.02,-0.0947,1.0111,0.37,-0.61,0.06
4.839,-0.0186,-0.0963,1.0101,0.3,-0.37,-0.85
4.859,-0.0203,-0.0991,1.0145,-0.37,-0.37,-3.11
4.879,-0.0228,-0.113,1.0103,-1.4,-1.1,-7.38
4.899,-0.021,-0.1063,1.0121,-0.49,-0.79,-8.84
4.919,-0.0015,-0.0817,1.0022,0.61,-0.12,-10.0
4.939,-0.0187,-0.082,1.0118,0.73,0.06,-3.05
4.959,-0.0184,-0.0983,1.0118,-0.73,-0.55,-0.61
4.979,-0.0185,-0.0967,1.0063,-1.1,-0.73,-2.13
4.999,-0.0189,-0.0959,1.0081,0.12,-0.12,-0.79
5.019,-0.019,-0.0919,1.0132,-0.24,-0.18,0.3
5.039,-0.0179,-0.0959,1.0074,-0.91,-0.37,0.3
5.059,-0.0177,-0.0955,1.01,-0.67,-0.3,0.37
5.079,-0.019,-0.0965,1.0131,-0.3,-0.3,0.43
5.099,-0.0167,-0.0992,1.0101,-0.73,-0.49,0.3
5.119,-0.0195,-0.0972,1.0083,-0.67,-0.55,0.37
5.139,-0.0185,-0.0979,1.0056,-0.37,-0.3,0.37
5.159,-0.0178,-0.0885,1.0123,1.1,0.12,0.3
5.179,-0.0192,-0.0975,1.0077,0.0,-0.24,0.37
5.199,-0.0163,-0.0968,1.0109,-0.3,-0.12,0.37
5.219,-0.0173,-0.0942,1.0152,-2.56,-1.22,0.37
5.239,-0.0181,-0.0943,1.008,-1.28,-0.43,0.3
5.259,-0.0192,-0.0947,1.0111,0.06,0.06,0.3
5.279,-0.0192,-0.0945,1.0112,0.12,0.18,0.98
5.299,-0.0161,-0.093,1.0092,-1.16,-0.61,3.05
5.319,-0.0236,-0.1061,1.0119,0.85,0.12,3.29
5.339,-0.0224,-0.0936,1.0095,1.04,0.55,0.91
5.359,-0.0179,-0.0965,1.0052,0.67,0.0,0.43
5.379,-0.0224,-0.0925,1.0142,1.1,0.12,0.3
5.399,-0.0214,-0.0933,1.0084,0.79,-0.06,0.37
5.419,-0.02,-0.0925,1.0099,1.52,0.24,0.3
5.439,-0.0223,-0.0897,1.0122,0.67,0.12,0.3
5.459,-0.0212,-0.0933,1.0118,-0.61,-0.3,0.37
5.479,-0.0201,-0.0944,1.0085,0.79,-0.3,0.37
5.499,-0.0217,-0.094,1.0083,0.06,-0.61,0.43
5.519,-0.0195,-0.0934,1.0104,0.55,-0.43,0.3
5.539,-0.0215,-0.0885,1.0097,0.73,-0.37,0.43
5.559,-0.0209,-0.0885,1.0071,-0.55,-0.55,0.3
5.579,-0.0195,-0.0889,1.0116,0.06,-0.55,0.3
