recv_ts,t_ms,avg_bpm,last_bpm,beats,ir,finger
2026-07-23T21:58:41,135932,0,0.0,0,69692,1
2026-07-23T21:58:41,138943,0,0.0,0,69690,1
2026-07-23T21:58:41,141953,0,0.0,1,64415,1
2026-07-23T21:58:41,144964,0,15.4,1,64553,1
2026-07-23T21:58:41,147975,0,15.4,0,64531,1
2026-07-23T21:58:41,150986,0,0.0,0,44226,0
2026-07-23T21:58:41,153996,0,0.0,0,56070,1
2026-07-23T21:58:41,157008,0,0.0,0,33809,0
2026-07-23T21:58:41,160017,0,0.0,0,25716,0
2026-07-23T21:58:41,3000,0,0.0,0,29894,0
2026-07-23T21:58:41,6011,0,0.0,0,29889,0
2026-07-23T21:58:41,9020,0,0.0,0,29890,0
2026-07-23T21:58:41,12032,0,0.0,0,29900,0
2026-07-23T21:58:41,15042,0,0.0,0,29898,0
2026-07-23T21:58:41,18052,0,0.0,0,29903,0
2026-07-23T21:58:42,21063,0,0.0,0,29918,0
2026-07-23T21:58:42,24074,0,0.0,0,29913,0
2026-07-23T21:58:42,27085,0,0.0,0,29908,0
2026-07-23T21:58:42,30095,0,0.0,0,29950,0
2026-07-23T21:58:42,33106,0,0.0,1,29929,0
2026-07-23T21:58:42,36116,0,0.0,0,29934,0
2026-07-23T21:58:42,39128,0,0.0,0,29933,0
2026-07-23T21:58:42,42137,0,0.0,0,29926,0
2026-07-23T21:58:42,45148,0,0.0,0,29934,0
2026-07-23T21:58:42,48160,0,0.0,0,29929,0
2026-07-23T21:58:42,51170,0,0.0,0,28878,0
2026-07-23T21:58:42,54181,0,0.0,0,28869,0
2026-07-23T21:58:42,57191,0,0.0,0,28875,0
2026-07-23T21:58:42,60202,0,0.0,0,28870,0
2026-07-23T21:58:42,63214,0,0.0,0,28873,0
2026-07-23T21:58:42,66223,0,0.0,0,28865,0
2026-07-23T21:58:42,69234,0,0.0,0,28871,0
2026-07-23T21:58:42,72245,0,0.0,0,28873,0
2026-07-23T21:58:42,75256,0,0.0,0,28870,0
2026-07-23T21:58:42,78266,0,0.0,0,28886,0
2026-07-23T21:58:42,81278,0,0.0,0,28897,0
2026-07-23T21:58:42,84288,0,0.0,0,28896,0
