t_ms,avg_bpm,last_bpm,beats,ir,finger
26753,0,0.0,0,454,0
2551,0,0.0,0,61968,1
3556,0,0.0,0,30700,0
4559,0,0.0,0,616,0
5562,0,0.0,0,781,0
6565,0,0.0,0,850,0
7569,0,0.0,0,773,0
8572,0,0.0,0,910,0
9576,0,0.0,0,923,0
10580,0,0.0,1,919,0
11603,0,0.0,0,839,0
12608,0,0.0,0,837,0
13610,0,0.0,0,783,0
14615,0,0.0,1,3919,0
15618,0,0.0,0,10399,0
16642,0,0.0,0,15372,0
17664,0,0.0,0,15853,0
18709,0,0.0,0,20384,0
19751,0,0.0,0,40248,0
20776,0,0.0,0,115471,1
21819,0,0.0,0,2495,0
22864,0,0.0,0,849,0
23866,0,0.0,0,1092,0
24871,0,0.0,0,1021,0
25874,0,0.0,0,1047,0
26878,0,0.0,0,856,0
27892,0,0.0,0,691,0
28906,0,0.0,0,4824,0
29928,0,0.0,0,103511,1
30947,0,0.0,0,36793,0
31977,0,0.0,0,673,0
33000,0,0.0,0,670,0
34044,0,0.0,0,9999,0
