Ref,Val,Package,PosX,PosY,Rot,Side
"C13","100nF","C_0402_1005Metric",73.800000,-129.000000,180.000000,bottom
"C14","1uF","C_0402_1005Metric",73.800000,-130.600000,180.000000,bottom
"C15","4.7uF","C_0603_1608Metric",73.800000,-127.000000,180.000000,bottom
"C17","100nF","C_0402_1005Metric",67.500000,-133.500000,180.000000,bottom
"U7","MAX30101EFD+T","Maxim_OLGA-14_3.3x5.6mm_P0.8mm",70.000000,-128.000000,180.000000,bottom
"U8","TMP117AIDRVR","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",64.500000,-133.500000,180.000000,bottom
