Designator,Mid X,Mid Y,Layer,Rotation
C13,73.800000mm,-129.000000mm,Bottom,180.000000
C14,73.800000mm,-130.600000mm,Bottom,180.000000
C15,73.800000mm,-127.000000mm,Bottom,180.000000
C17,67.500000mm,-133.500000mm,Bottom,180.000000
U7,70.000000mm,-128.000000mm,Bottom,180.000000
U8,64.500000mm,-133.500000mm,Bottom,180.000000
